"¿µ¾÷ÀÏ option 
= Five Day",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
start date,2004-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
end date,2025-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
currency,Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol Name,S&P 500,S&P 500 / Information Technology -SEC,S&P 500 / Financials -SEC,S&P 500 / Consumer Discretionary -SEC,S&P 500 / Communication Services -SEC,S&P 500 / Health Care -SEC,S&P 500 / Industrials -SEC,S&P 500 / Consumer Staples -SEC,S&P 500 / Energy -SEC,S&P 500 / Utilities -SEC,S&P 500 / Materials -SEC,S&P 500 / Real Estate - SEC,S&P 500,S&P 500 / Information Technology -SEC,S&P 500 / Financials -SEC,S&P 500 / Consumer Discretionary -SEC,S&P 500 / Communication Services -SEC,S&P 500 / Health Care -SEC,S&P 500 / Industrials -SEC,S&P 500 / Consumer Staples -SEC,S&P 500 / Energy -SEC,S&P 500 / Utilities -SEC,S&P 500 / Materials -SEC,S&P 500 / Real Estate - SEC,S&P 500,S&P 500 / Information Technology -SEC,S&P 500 / Financials -SEC,S&P 500 / Consumer Discretionary -SEC,S&P 500 / Communication Services -SEC,S&P 500 / Health Care -SEC,S&P 500 / Industrials -SEC,S&P 500 / Consumer Staples -SEC,S&P 500 / Energy -SEC,S&P 500 / Utilities -SEC,S&P 500 / Materials -SEC,S&P 500 / Real Estate - SEC,S&P 500,S&P 500 / Information Technology -SEC,S&P 500 / Financials -SEC,S&P 500 / Consumer Discretionary -SEC,S&P 500 / Communication Services -SEC,S&P 500 / Health Care -SEC,S&P 500 / Industrials -SEC,S&P 500 / Consumer Staples -SEC,S&P 500 / Energy -SEC,S&P 500 / Utilities -SEC,S&P 500 / Materials -SEC,S&P 500 / Real Estate - SEC,,,,
Symbol,SP50,99900701,99900621,99900285,99900793,99900565,99900125,99900477,99900001,99900821,99900037,86099Y65,SP50,99900701,99900621,99900285,99900793,99900565,99900125,99900477,99900001,99900821,99900037,86099Y65,SP50,99900701,99900621,99900285,99900793,99900565,99900125,99900477,99900001,99900821,99900037,86099Y65,SP50,99900701,99900621,99900285,99900793,99900565,99900125,99900477,99900001,99900821,99900037,86099Y65,,,,
Item Name,FMA_EPS,FMA_EPS,FMA_EPS,FMA_EPS,FMA_EPS,FMA_EPS,FMA_EPS,FMA_EPS,FMA_EPS,FMA_EPS,FMA_EPS,FMA_EPS,FG_PRICE,FG_PRICE,FG_PRICE,FG_PRICE,FG_PRICE,FG_PRICE,FG_PRICE,FG_PRICE,FG_PRICE,FG_PRICE,FG_PRICE,FG_PRICE,FG_TOTAL_RET_IDX,FG_TOTAL_RET_IDX,FG_TOTAL_RET_IDX,FG_TOTAL_RET_IDX,FG_TOTAL_RET_IDX,FG_TOTAL_RET_IDX,FG_TOTAL_RET_IDX,FG_TOTAL_RET_IDX,FG_TOTAL_RET_IDX,FG_TOTAL_RET_IDX,FG_TOTAL_RET_IDX,FG_TOTAL_RET_IDX,FG_MKT_VALUE,FG_MKT_VALUE,FG_MKT_VALUE,FG_MKT_VALUE,FG_MKT_VALUE,FG_MKT_VALUE,FG_MKT_VALUE,FG_MKT_VALUE,FG_MKT_VALUE,FG_MKT_VALUE,FG_MKT_VALUE,FG_MKT_VALUE,,,,
2004-08-19,70.6316 ,15.3382 ,31.4900 ,14.8512 ,6.3765 ,20.7885 ,14.7228 ,13.0679 ,17.7833 ,9.5100 ,10.1826 ,6.7152 ,1091.2300 ,282.6228 ,379.9408 ,238.9100 ,117.2926 ,335.4343 ,255.1697 ,226.8497 ,249.0400 ,124.5177 ,161.0799 ,102.6138 ,1570.4720 ,#N/A,#N/A,#N/A,#N/A,95.4197 ,#N/A,98.4179 ,#N/A,88.7061 ,#N/A,#N/A,10196997.0000 ,1590272.4000 ,2139180.5000 ,1110840.4000 ,373938.9000 ,1373883.0000 ,1168700.8000 ,1146859.8000 ,692729.7000 ,292366.7500 ,308225.1600 ,45546.0660 ,,,,
2004-08-20,70.7225 ,15.3633 ,31.4780 ,14.8580 ,6.3596 ,20.7876 ,14.7363 ,13.0742 ,18.0120 ,9.5153 ,10.2036 ,6.7342 ,1098.3500 ,284.0132 ,383.2333 ,240.5601 ,117.9682 ,337.9371 ,256.7951 ,227.4919 ,251.0225 ,124.9244 ,162.6053 ,104.7801 ,1580.7178 ,#N/A,#N/A,#N/A,#N/A,96.1317 ,#N/A,98.6965 ,#N/A,88.9959 ,#N/A,#N/A,10263522.0000 ,1598096.1000 ,2157718.5000 ,1118519.9000 ,376092.5300 ,1384134.1000 ,1176145.4000 ,1150106.1000 ,698244.2500 ,293321.7500 ,311143.8800 ,46507.6050 ,,,,
2004-08-23,70.8735 ,15.4067 ,31.5062 ,14.8547 ,6.3758 ,20.8055 ,14.7629 ,13.0903 ,18.2230 ,9.5226 ,10.2264 ,6.7467 ,1095.6800 ,285.5560 ,381.8615 ,239.4659 ,117.8053 ,337.1622 ,256.3212 ,226.6878 ,248.5511 ,124.5023 ,161.0100 ,104.8883 ,1576.9742 ,#N/A,#N/A,#N/A,#N/A,95.9112 ,#N/A,98.3511 ,#N/A,88.6952 ,#N/A,#N/A,10238542.0000 ,1606776.8000 ,2149994.5000 ,1113428.5000 ,375573.4000 ,1380960.3000 ,1173975.1000 ,1146041.3000 ,691369.7500 ,292330.6300 ,308091.4000 ,46555.6200 ,,,,
2004-08-24,70.8781 ,15.4068 ,31.5486 ,14.8133 ,6.3822 ,20.7968 ,14.7663 ,13.0982 ,18.2127 ,9.5210 ,10.2317 ,6.8162 ,1096.1900 ,283.8608 ,382.9868 ,239.9924 ,117.6081 ,337.5820 ,257.5004 ,226.7940 ,247.6274 ,124.5762 ,161.4827 ,107.1400 ,1577.7263 ,#N/A,#N/A,#N/A,#N/A,96.0306 ,#N/A,98.3971 ,#N/A,88.7478 ,#N/A,#N/A,10243324.0000 ,1597238.4000 ,2156330.5000 ,1115876.4000 ,374944.7200 ,1382679.6000 ,1179376.0000 ,1146578.0000 ,688800.4000 ,292504.1300 ,308995.9000 ,47555.0600 ,,,,
2004-08-25,70.9292 ,15.3900 ,31.5518 ,14.7886 ,6.3711 ,20.7980 ,14.7727 ,13.1137 ,18.2954 ,9.5273 ,10.2733 ,6.8264 ,1104.9600 ,287.4067 ,386.1747 ,241.6484 ,117.9577 ,340.4684 ,259.4951 ,227.7867 ,249.2459 ,125.1958 ,163.2090 ,106.9067 ,1590.4077 ,#N/A,#N/A,#N/A,#N/A,96.8517 ,#N/A,98.8278 ,#N/A,89.2607 ,#N/A,#N/A,10325277.0000 ,1617190.6000 ,2174279.5000 ,1123576.3000 ,376059.3800 ,1394502.1000 ,1188512.0000 ,1151596.6000 ,693302.5000 ,293958.9400 ,312299.2000 ,47451.5080 ,,,,
2004-08-26,70.9801 ,15.3874 ,31.5995 ,14.7844 ,6.3701 ,20.8289 ,14.8022 ,13.1122 ,18.3004 ,9.5319 ,10.2785 ,6.8398 ,1105.0900 ,285.7897 ,386.8307 ,241.6874 ,117.8093 ,340.2979 ,259.5962 ,228.1288 ,250.7659 ,125.0501 ,163.9902 ,107.3371 ,1590.5975 ,#N/A,#N/A,#N/A,#N/A,96.8032 ,#N/A,98.9763 ,#N/A,89.1568 ,#N/A,#N/A,10327216.0000 ,1608622.1000 ,2177973.0000 ,1123757.8000 ,375586.0300 ,1393803.5000 ,1188975.0000 ,1153326.5000 ,697530.4400 ,293848.2200 ,313793.8800 ,47642.5630 ,,,,
2004-08-27,70.9609 ,15.3525 ,31.5246 ,14.7959 ,6.3992 ,20.8434 ,14.8081 ,13.1136 ,18.3280 ,9.5443 ,10.3187 ,6.8386 ,1107.7700 ,287.3800 ,387.0614 ,241.6278 ,118.1814 ,342.4751 ,259.5119 ,228.2549 ,252.1882 ,125.1352 ,164.2870 ,107.2447 ,1594.5878 ,#N/A,#N/A,#N/A,#N/A,97.4226 ,#N/A,99.0376 ,#N/A,89.2175 ,#N/A,#N/A,10352272.0000 ,1617576.8000 ,2179271.8000 ,1123480.6000 ,376772.3400 ,1402721.3000 ,1188588.8000 ,1153963.6000 ,701486.8000 ,294048.2000 ,314361.8800 ,47601.5630 ,,,,
